case,Measure,complexity,ChatGPT-4.5,ChatGPT-4o,ChatGPT-4o-Mini,ChatGPT-5,ChatGPT-5.2,Claude-3.5,Claude-3.7,Claude-4.5,Claude-Opus-4,Claude-Sonnet-4,Cursor-Small,DeepSeek,DeepSeek-R1-0528,Gemini,Gemini-2.5-Pro,Gemini-3-Pro,Grok-3,Grok-4,Grok-4.1,Llama-4-Scout,Meta,Mistral,Mistral-Large-2405,Mistral-Large-3,Qwen,Qwen-3,o1-Mini,o1-Preview
multiple formulae,Accuracy,1,100.0,100.0,73.33333333333333,100.0,100.0,100.0,66.66666666666666,100.0,70.0,96.66666666666669,100.0,100.0,100.0,100.0,70.0,100.0,100.0,86.66666666666667,100.0,86.66666666666667,100.0,100.0,56.666666666666664,100.0,100.0,83.33333333333334,100.0,100.0
multiple formulae,Accuracy,2,36.666666666666664,50.0,33.33333333333333,23.333333333333332,46.666666666666664,46.666666666666664,23.333333333333332,60.0,16.666666666666664,23.333333333333332,46.666666666666664,66.66666666666666,26.666666666666668,36.666666666666664,26.666666666666668,70.0,60.0,20.0,36.666666666666664,36.666666666666664,23.333333333333332,16.666666666666664,36.666666666666664,50.0,46.666666666666664,23.333333333333332,56.666666666666664,53.333333333333336
multiple formulae,Accuracy,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Accuracy (per answer),1,78.88888888888891,46.66666666666667,43.33333333333334,46.666666666666664,51.66666666666667,75.55555555555557,41.11111111111111,57.77777777777776,42.22222222222222,27.03703703703704,38.8888888888889,51.66666666666667,46.0,47.77777777777778,43.333333333333336,100.0,96.66666666666669,45.55555555555556,100.0,50.0,81.66666666666667,50.0,30.0,100.0,100.0,49.99999999999999,90.0,66.66666666666669
multiple formulae,Accuracy (per answer),2,16.666666666666664,21.111111111111107,14.444444444444445,5.333333333333334,23.333333333333332,15.555555555555554,7.777777777777777,31.11111111111111,5.555555555555555,3.3333333333333335,18.88888888888888,43.333333333333336,5.333333333333334,14.444444444444445,11.111111111111112,70.0,45.0,7.777777777777777,36.666666666666664,15.555555555555554,11.666666666666666,11.666666666666666,13.333333333333334,50.0,46.666666666666664,8.888888888888888,28.333333333333332,28.888888888888893
multiple formulae,Accuracy (per answer),3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Equivalence,1,57.77777777777777,40.0,24.444444444444443,64.44444444444444,3.3333333333333335,100.0,28.88888888888889,36.666666666666664,48.888888888888886,64.44444444444444,16.666666666666664,3.3333333333333335,58.88888888888889,43.333333333333336,32.22222222222222,0.0,93.33333333333331,27.77777777777778,0.0,28.88888888888889,63.33333333333333,0.0,20.0,0.0,0.0,34.444444444444436,80.0,100.0
multiple formulae,Equivalence,2,20.0,30.0,13.333333333333334,14.444444444444445,0.0,1.111111111111111,3.3333333333333335,41.111111111111114,6.666666666666667,8.888888888888888,10.0,26.666666666666668,11.111111111111112,4.444444444444444,10.0,0.0,40.0,20.0,0.0,8.888888888888888,26.666666666666668,43.333333333333336,4.444444444444444,0.0,0.0,22.22222222222222,3.3333333333333335,36.666666666666664
multiple formulae,Equivalence,3,0.0,0.0,4.444444444444444,13.333333333333334,0.0,0.0,0.0,0.0,0.0,15.444444444444445,0.0,0.0,12.22222222222222,0.0,6.666666666666667,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.111111111111111,0.0,0.0,16.666666666666664,0.0,0.0
multiple formulae,Known sequence,1,0.0,0.0,3.0,0.0,0.0,0.0,30.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,48.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
